Title,Certificate,Duration,Genre,Rating,Description, Stars,Votes,Year
Taylor Swift: Reputation Stadium Tour,TV-PG,125 min,"Documentary, Music",8.4,Taylor Swift takes the stage and proves she doesn't care about her bad reputation.,"['Paul Dugdale', '| ', '    Stars:', 'Taylor Swift, ', 'Matt Billingslea, ', 'Camila Cabello, ', 'Toshi Davidson']",5544,2018
Taylor Tomlinson: Look at You,TV-MA,60 min,"Documentary, Comedy",7.3,"Taylor is a girl struggling with mental health, grief and dating. Follow her journey as she shares an intimate look of her life in a hilarious way.","['Kristian Mercado', '| ', '    Star:', 'Taylor Tomlinson']",2250,2022
Taylor Tomlinson: Quarter-Life Crisis,TV-14,61 min,Comedy,7.4,"She's halfway through her 20s, and she's over it. Too old to party, too young to settle down, comedian Taylor Tomlinson takes aim at her life choices.","['Marcus Raboy', '| ', '    Star:', 'Taylor Tomlinson']",3960,2020
Team Zenko Go,TV-Y,24 min,"Animation, Family",7.4,"No good deed is too small for this kind kid squad. Niah, Ari, Ellie and Jax go undercover to help others and squash their town's problems in secret.","['Tabitha St. Germain, ', 'Dominic Mariche, ', 'Nakai Takawira, ', 'Penelope Good']",47,2022
Tear Along the Dotted Line,TV-14,20 min,"Animation, Comedy, Drama",8.6,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,"['Zerocalcare, ', 'Valerio Mastandrea, ', 'Adam Rhys Dee, ', 'Ambrogio Colombo']",8453,2021
TED: The Future We Will Create,Not Rated,74 min,Documentary,6.9,"""TED: The future we will create"" gives you an all-access pass inside the world of TED to what Wired Magazine refers to as ""arguably the hottest gathering around."" Every year for four days, ...                See full summary »","['Steven Latham, ', 'Daphne Zuniga', '| ', '    Stars:', 'Daphne Zuniga, ', 'Al Gore, ', 'Lawrence Bender, ', 'Chris Anderson']",161,2007
Teen Titans Go!,TV-PG,10 min,"Animation, Short, Action",5.4,"Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?","['Greg Cipes, ', 'Khary Payton, ', 'Scott Menville, ', 'Tara Strong']",21432,2013
Teen Wolf,TV-14,41 min,"Action, Drama, Fantasy",7.7,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,"['Tyler Posey, ', 'Holland Roden, ', ""Dylan O'Brien, "", 'Linden Ashby']",146991,2017
Temporada de Verão,TV-14,45 min,"Drama, Romance",5.7,"A group of young adults working at a paradisiac resort live an unforgettable summer as they discover love, true friendships and devastating secrets.","['Felipe Rocha, ', 'Jorge López, ', 'Giovanna Lancellotti, ', 'Cynthia Senek']",303,2022
Terrace House,TV-14,30 min,"Drama, Reality-TV",8.1,"Six men and women who start as strangers live together under one roof for the summer. No script, new episode released each week.","['You, ', 'Reina Triendl, ', 'Yoshimi Tokui, ', 'Azusa Babazono']",1692,2016
Test,TV-MA,89 min,"Drama, History, Romance",6.4,"In 1985, a gay dance understudy hopes for his on-stage chance while fearing the growing AIDS epidemic.","['Chris Mason Johnson', '| ', '    Stars:', 'Scott Marlowe, ', 'Matthew Risch, ', 'Evan Boomer, ', 'Kevin Clarke']",1641,2013
That '70s Show,TV-14,22 min,"Comedy, Drama, Romance",8.1,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.","['Topher Grace, ', 'Laura Prepon, ', 'Mila Kunis, ', 'Danny Masterson']",169768,2006
That Girl Lay Lay,TV-G,22 min,"Comedy, Family",3.6,"That Girl Lay Lay follows Lay Lay, the perfect hype girl and best friend that anyone could ever want from their personal affirmation app. Struggling to make her mark at school and needing a...                See full summary »","['Gabrielle Nevaeh Green, ', 'Alaya High, ', 'Thomas Hobson, ', 'Tiffany Daniels']",323,2021
That Time I Got Reincarnated as a Slime,TV-PG,25 min,"Animation, Action, Adventure",8.2,Average 37-year-old Minami Satoru dies and is reincarnated as the most unremarkable creature imaginable-a slime.,"['Miho Okasaki, ', 'Megumi Toyoguchi, ', 'Brittney Karbowski, ', 'Mallorie Rodak']",10271,2018
