Title,Certificate,Duration,Genre,Rating,Description, Stars,Votes,Year
Dave Attell: Road Work,TV-MA,60 min,Comedy,7.5,"Veteran New York City comic Dave Attell is back with his Comedy Central stand-up special ""Road Work."" This unique special cuts together multiple performances from Attell's past tour. From ...                See full summary »","['Scott Gawlik', '| ', '    Star:', 'Dave Attell']",482,2014
Dave Chappelle: 8:46,TV-MA,27 min,"Short, Comedy",8.1,Dave Chappelle addresses George Floyd's death and racial injustice in a stand-up special filmed in Ohio.,"['Steven Bognar, ', 'Julia Reichert', '| ', '    Star:', 'Dave Chappelle']",3358,2020
Dave Chappelle: Equanimity,TV-MA,60 min,Comedy,8.1,"Dave talks about not actually growing up in the projects, the hate he received from the transgender community, and from fake news.","['Stan Lathan', '| ', '    Stars:', 'Dave Chappelle, ', 'Donnell Rawlings']",12553,2017
Dave Chappelle: Sticks & Stones,TV-MA,65 min,Comedy,8.4,"Dave Chappelle takes on gun culture, the opioid crisis, and the tidal wave of celebrity scandals in a defiant stand-up special filmed in Atlanta.","['Stan Lathan', '| ', '    Star:', 'Dave Chappelle']",26427,2019
Dave Chappelle: The Bird Revelation,TV-MA,49 min,Comedy,7.8,Dave jokes about the sexual assaults dominating the 2017 entertainment news and how and why people allow themselves to be abused.,"['Stan Lathan', '| ', '    Star:', 'Dave Chappelle']",10143,2017
Dave Chappelle: The Closer,TV-MA,72 min,Comedy,8,"As he closes out his slate of comedy specials, Dave takes the stage to try and set the record straight; and get a few things off his chest.","['Stan Lathan', '| ', '    Stars:', 'Dave Chappelle, ', 'Daphne Dorman']",26593,2021
Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor,TV-MA,90 min,Comedy,7.4,"In 2019 comedy great Dave Chappelle received the 22nd Annual Mark Twain Prize for American Humor. The event was held in a ceremony at the Kennedy Center in Washington, DC. Toasting Chappelle were a who's who of the entertainment industry.","['Chris Robinson', '| ', '    Stars:', 'Dave Chappelle, ', 'Mohammed Amer, ', 'Aziz Ansari, ', 'Erykah Badu']",2239,2020
David A. Arnold: It Ain't for the Weak,TV-MA,78 min,"Documentary, Comedy",6.5,"Comedian David A. Arnold is back on Netflix with a new special, ""It Ain't for the Weak!"". The Show taped earlier this year at The Hanna Theater in Arnold's hometown of Cleveland, OH.","['Malakai', '| ', '    Star:', 'David A. Arnold']",181,2022
David Spade: Nothing Personal,TV-MA,66 min,"Documentary, Comedy",5.8,Follows David Spade sharing his disdain for crabs and his unique approach to turning down drugs. Spade is going to prove that no topic is off limits.,"['Ryan Polito', '| ', '    Star:', 'David Spade']",760,2022
Dawn of the Croods,TV-Y7,23 min,"Animation, Short, Adventure",5.8,"Eep, Grug, Thunk, Ugga, Sandy and Gran are back. Follow them as they meet new friends, outrun new creatures and encounter ""firsts"" the world has never seen - such as school, slumber parties, hiccups and elections.","['Dan Milano, ', 'A.J. LoCascio, ', 'Laraine Newman, ', 'Cree Summer']",735,2017
Dawson's Creek,TV-14,60 min,"Drama, Romance",6.8,Four friends in a small coastal town help each other cope with adolescence.,"['James Van Der Beek, ', 'Katie Holmes, ', 'Michelle Williams, ', 'Joshua Jackson']",41567,2003
Daybreak,TV-MA,60 min,"Action, Adventure, Comedy",6.7,High school outcast Josh is searching for his missing girlfriend in post apocalyptic Glendale. He's joined by a group of misfits Angelica and his former bully Wesley. On the way they'll face many weird things.,"['Colin Ford, ', 'Alyvia Alyn Lind, ', 'Sophie Simnett, ', 'Austin Crute']",20392,2019
DC Super Hero Girls,TV-PG,11 min,"Animation, Action, Adventure",7.1,Teenage versions of DC Comics superheroines both attend high school and fight crime to protect the citizens of Metropolis.,"['Tara Strong, ', 'Nicole Sullivan, ', 'Myrna Velasco, ', 'Kimberly Brooks']",1338,2019
DC Super Hero Girls: Hero of the Year,Not Rated,76 min,"Animation, Action, Adventure",5.4,"It's up to Wonder Woman, Supergirl, Batgirl and Bumblebee at Super Hero High to stop Dark Opal from stealing their valued possessions to form the ultimate weapon.","['Cecilia Aranovich', '| ', '    Stars:', 'Yvette Nicole Brown, ', 'Dean Cain, ', 'Greg Cipes, ', 'Jessica DiCicco']",740,2016
DC's Legends of Tomorrow,TV-14,42 min,"Action, Adventure, Drama",6.8,"Time-traveling rogue Rip Hunter must recruit a ragtag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","['Caity Lotz, ', 'Amy Louise Pemberton, ', 'Dominic Purcell, ', 'Nick Zano']",104446,2022
Dead End: Paranormal Park,TV-Y7,30 min,"Animation, Adventure, Comedy",6.5,Two teens and a talking pug team up to battle demons at a haunted theme park and maybe even save the world from a supernatural apocalypse.,"['Zach Barack, ', 'Kody Kavitha, ', 'Emily Osment, ', 'Clinton Leupp']",1926,2022
Dead in Tombstone,R,100 min,"Action, Fantasy, Horror",4.8,"A leader killed by his own gang, gets offered a chance by Satan himself to escape damnation.","['Roel Reiné', '| ', '    Stars:', 'Danny Trejo, ', 'Mickey Rourke, ', 'Anthony Michael Hall, ', 'Dina Meyer']",5623,2013
Dead to Me,TV-MA,30 min,"Comedy, Crime, Drama",8,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,"['Christina Applegate, ', 'Linda Cardellini, ', 'Luke Roessler, ', 'Sam McCarthy']",76565,2022
Deadly Class,TV-MA,60 min,"Action, Adventure, Comedy",7.5,"A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.","['Benedict Wong, ', 'Benjamin Wadsworth, ', 'Lana Condor, ', 'María Gabriela de Faría']",17740,2019
Deadly Runway,TV-14,90 min,"Drama, Horror",4.5,"When a psychotic fashion photographer turns a nerdish high school student into a superstar model, her obsession with him drives her to homicidal madness.","['Doug Campbell', '| ', '    Stars:', 'Linsey Godfrey, ', 'Joshua Hoffman, ', 'Jamie Luner, ', 'Elle Army']",199,2018
Dear White People,TV-MA,30 min,"Comedy, Drama",6.1,"At a predominantly white Ivy League college, a group of black students navigate various forms of racial and other types of discrimination.","['Logan Browning, ', 'Brandon P Bell, ', 'DeRon Horton, ', 'Antoinette Robertson']",25414,2021
Death Clique,TV-PG,83 min,"Crime, Drama, Mystery",5.4,A jealous rivalry between three high school girls leads to a shocking crime.,"['Doug Campbell', '| ', '    Stars:', 'Barbara Alyn Woods, ', 'Tina Ivlev, ', 'Lexi Ainsworth, ', 'Brittany Underwood']",1352,2014
Death Note,TV-14,24 min,"Animation, Crime, Drama",9,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"['Mamoru Miyano, ', 'Brad Swaile, ', 'Vincent Tong, ', 'Ryô Naitô']",316300,2007
Death to 2020,TV-MA,70 min,Comedy,6.8,Take a look back at the mad glory of the year 2020 in this comedic retrospective.,"['Al Campbell, ', 'Alice Mathias', '| ', '    Stars:', 'Samuel L. Jackson, ', 'Hugh Grant, ', 'Lisa Kudrow, ', 'Kumail Nanjiani']",38711,2020
Death to 2021,TV-MA,60 min,Comedy,6.3,This comedic retrospective mixes archival footage and scripted sketches as it revisits all the dread and occasional delight that 2021 had to offer.,"['Jack Clough, ', 'Josh Ruben', '| ', '    Stars:', 'Hugh Grant, ', 'Joe Keery, ', 'William Jackson Harper, ', 'Lucy Liu']",14757,2021
Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits,TV-MA,66 min,Comedy,7.9,"Dave Chappelle gives his stand about racially charged run-ins, celebrity scandals and fatherly dilemmas in his stand-up set at Austin's Moody Theater.","['Stan Lathan', '| ', '    Stars:', 'Dave Chappelle, ', 'Morgan Freeman']",11654,2017
Deepa & Anoop,TV-Y,25 min,"Animation, Adventure, Comedy",8.6,"Follows the adventures of Deepa and her best friend, Anoop, and how they solve the simplest of problems with the most imaginative solutions.","['Pavan Bharaj, ', 'Ulka Simone Mohanty, ', 'Adam Nurada, ', 'Ana Sani']",42,2022
Def Comedy Jam 25,TV-MA,80 min,"Documentary, Comedy",6.6,"Def Comedy Jam 25 celebrates the impact and legacy of the groundbreaking HBO comedy series Def Comedy Jam, which debut 25-years ago running from 1992 to 1997. Def Comedy Jam 25 celebrates ...                See full summary »","['Louis J. Horvitz', '| ', '    Stars:', 'Dave Chappelle, ', 'Tiffany Haddish, ', 'Steve Harvey, ', 'Bill Bellamy']",1122,2017
Degrassi: Next Class,TV-PG,30 min,"Drama, Romance",6.8,"Degrassi: Next Class follows the lives of the students from Degrassi Community School, a fictional high school in Toronto.","[""Na'ku'set Gould, "", 'Amanda Arcuri, ', 'Sara Waisglass, ', 'Ehren Kassam']",3360,2017
Delhi Crime,TV-MA,50 min,"Crime, Drama",8.5,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.","['Shefali Shah, ', 'Rajesh Tailang, ', 'Rasika Dugal, ', 'Anurag Arora']",22337,2019
Delirium,R,85 min,Comedy,4.5,"A group of friends is looking for a change in their lives. Believing that a film will bring them fame and wealth, they embark on the project without many cinematic knowledge, but with a famous actor in mind to star: Ricardo Darín.","['Carlos Kaimakamian Carrau', '| ', '    Stars:', 'Ramiro Archain, ', 'Emiliano Carrazzone, ', 'Miguel Di Lemme, ', 'Ricardo Darín']",370,2014
Deliver Us from Evil,R,118 min,"Action, Adventure, Crime",6.2,"New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.","['Scott Derrickson', '| ', '    Stars:', 'Eric Bana, ', 'Edgar Ramírez, ', 'Olivia Munn, ', 'Chris Coy']",77685,2014
Delivery,Not Rated,92 min,"Documentary, Comedy",5.9,"This comedy follows a soon-to-be father as he documents the fear and hilarity of attempting a stand-up comedy career before having his first child, but quickly discovers that his story is a heartwarming one of love, loss, hope, and regret.","['Mark Myers', '| ', '    Stars:', 'Orny Adams, ', 'Amir Blumenfeld, ', 'Trevor Boris, ', 'Bryan Callen']",46,2014
Demetri Martin: Live (At the Time),TV-MA,61 min,"Documentary, Comedy",7.4,Demetri Martin performs his newest stand-up routine at The Lincoln Theater in Washington D.C.,"['Jay Karas', '| ', '    Star:', 'Demetri Martin']",2231,2015
Demon Slayer: Kimetsu no Yaiba,TV-MA,24 min,"Animation, Action, Adventure",8.7,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","['Natsuki Hanae, ', 'Zach Aguilar, ', 'Abby Trott, ', 'Yoshitsugu Matsuoka']",97968,2019
Derek,TV-MA,23 min,"Comedy, Drama",8.1,Derek is a loyal nursing home care assistant who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents.,"['Ricky Gervais, ', 'Kerry Godliman, ', 'David Earl, ', 'Tim Barlow']",32985,2014
Derren Brown: Pushed to the Edge,TV-MA,68 min,Reality-TV,7.5,Derren Brown investigates the power of compliance by persuading a member of the public into believing that they have pushed someone to their death.,"['Jon Richards', '| ', '    Stars:', 'Ben Adams, ', 'Benjamin Adams, ', 'Dave Bibby, ', 'Derren Brown']",3781,2016
Derren Brown: Sacrifice,TV-14,49 min,Reality-TV,7.1,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger,"['Derren Brown, ', 'Megan Affonso, ', 'Bob Cable, ', 'Christopher Crabinha']",1836,2018
Derry Girls,TV-MA,30 min,Comedy,8.5,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,"['Saoirse-Monica Jackson, ', 'Louisa Harland, ', ""Tara Lynne O'Neill, "", 'Kathy Kiera Clarke']",36522,2022
Designated Survivor,TV-14,60 min,"Action, Drama, Mystery",7.5,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,"['Kiefer Sutherland, ', 'Adan Canto, ', 'Italia Ricci, ', 'Kal Penn']",90424,2019
Designing Miami,TV-MA,40 min,Reality-TV,6.3,"It showcases two designers from Miami who are competitors and a married couple, Eilyn and Ray Jimenez. T.",[],33,2022
Det som göms i snö,TV-14,43 min,"Crime, Drama, Mystery",7.4,"After a long sick leave and recovery police detective Peter Wendel is back on duty. He is commissioned to form a new team to reopen unresolved murder cases, however he soon finds himself ...                See full summary »","['Robert Gustafsson, ', 'Louise Peterhoff, ', 'Ia Langhammer, ', 'Christopher Wagelin']",2938,2018
Detention,TV-MA,50 min,"Drama, Horror, Mystery",6.3,A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.,"['Lee Ling-Wei, ', 'Guan-Zhi Huang, ', 'Chun-Yao Yao, ', 'Kwang-hoon Na']",534,2020
Devils Line,TV-MA,24 min,"Animation, Action, Crime",6.8,"Vampires seem to be living among humans. Of course the government does not know of their existence, because their appearance does not differ from humans. They also do not need to drink ...                See full summary »","['Luci Christian, ', 'Yoshitsugu Matsuoka, ', 'Yui Ishikawa, ', 'Adam Gibbs']",1247,2018
Dexter,TV-MA,53 min,"Crime, Drama, Mystery",8.7,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","['Michael C. Hall, ', 'Jennifer Carpenter, ', 'David Zayas, ', 'James Remar']",720792,2013
Diablero,TV-MA,40 min,"Adventure, Drama, Fantasy",6.7,"A fallen priest, a legendary demon hunter and a modern day superhero join forces to battle evil.","['Christopher Von Uckermann, ', 'Gisselle Kuri, ', 'Fátima Molina, ', 'Horacio Garcia Rojas']",2615,2020
Diana,PG-13,117 min,"Biography, Drama, Musical",4.3,"The dazzling and devastating life of Princess Diana takes center stage in this original musical, filmed in advance of its official Broadway opening.","['Christopher Ashley', '| ', '    Stars:', 'Jeanna de Waal, ', 'Roe Hartrampf, ', 'Erin Davie, ', 'Judy Kaye']",1320,2021
Dieter Nuhr: Nuhr in Berlin,Not Rated,69 min,Comedy,4.7,"The cerebral and popular German cabaret comic expounds his theories on gender norms, primal instincts and a decidedly gastrointestinal Big Bang.","['Volker Weicker', '| ', '    Star:', 'Dieter Nuhr']",71,2016
Dinotrux,TV-Y7-FV,23 min,"Animation, Short, Action",6.7,"Animals like the Craneosauraus, Garbageadon and Tyrannosaurus Trux (part dinosaurs and part truck) exist in a fictional prehistoric era.","['Andrew Francis, ', 'Richard Ian Cox, ', 'Ashleigh Ball, ', 'Brian Drummond']",468,2017
Dinotrux Supercharged,TV-Y7,24 min,"Animation, Short, Action",7.5,In this new season of dinotrux Ty and the others meet new friends as well as face new challenges both normal and supercharged.,"['Andrew Francis, ', 'Ashleigh Ball, ', 'Richard Ian Cox, ', 'Matt Hill']",98,2018
Dirilis: Ertugrul,TV-14,120 min,"Action, Adventure, Drama",7.9,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.","['Engin Altan Düzyatan, ', 'Hülya Darcan, ', 'Cengiz Coskun, ', 'Nurettin Sönmez']",36678,2019
Dirk Gently's Holistic Detective Agency,TV-14,60 min,"Action, Adventure, Comedy",8.2,Holistic detective Dirk Gently investigates cases involving the supernatural.,"['Samuel Barnett, ', 'Elijah Wood, ', 'Hannah Marks, ', 'Jade Eshete']",51064,2017
Dirty Daddy: The Bob Saget Tribute,TV-MA,83 min,Comedy,6.6,"Bob Saget's friends and family give a tribute to the late comedian on a night full of laughter and music together with Jim Carrey, Chris Rock, Jeff Ross, John Stamos, and more.","['Mike Binder', '| ', '    Stars:', 'John Stamos, ', 'Jeffrey Ross, ', 'Chris Rock, ', 'Jim Carrey']",503,2022
Dirty John,TV-14,44 min,"Crime, Drama",7.2,Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,"['Connie Britton, ', 'Christian Slater, ', 'Eric Bana, ', 'Amanda Peet']",21809,2018
Dirty Lines,TV-MA,45 min,"Drama, History",7.4,"In 1980s Amsterdam, a family starts the first-ever phone sex line but being in the business of sexual desires leads them to question their own.","['Joy Delima, ', 'Minne Koole, ', 'Chris Peters, ', 'Julia Akkermans']",2051,2022
Dirty Money,TV-14,60 min,"Documentary, Crime",8.1,"A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.","['Matt Taibbi, ', 'Fisher Stevens, ', 'Alex Gibney, ', 'Fahmi Quadir']",9307,2018
Dirty Teacher,TV-14,85 min,"Drama, Mystery, Thriller",4.7,A high school senior becomes the victim of an elaborate frame-up after learning that her boyfriend is sleeping with their teacher.,"['Doug Campbell', '| ', '    Stars:', 'Josie Davis, ', 'Kelcie Stranahan, ', 'Cameron Deane Stewart, ', 'Darlene Vogel']",2019,2013
Disenchantment,TV-MA,30 min,"Animation, Action, Adventure",7.2,"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.","['Abbi Jacobson, ', 'Eric André, ', 'Nat Faxon, ', 'John DiMaggio']",61178,2018
Disjointed,TV-MA,30 min,Comedy,6.7,"Cannabis legend Ruth Whitefeather Feldman employs her newly graduated son and a team of young ""budtenders"" to help run her Los Angeles marijuana dispensary.","['Kathy Bates, ', 'Aaron Moten, ', 'Elizabeth Alderfer, ', 'Tone Bell']",10361,2018
Dive Club,TV-PG,27 min,"Adventure, Drama, Family",6.2,"Dive Club follows the story of a feisty group of teen divers who search for their friend when she disappears after a cyclone hits Cape Mercy, their small coastal town.","['Miah Madden, ', 'Georgia-May Davis, ', ""Sana'a Shaik, "", 'Aubri Ibrag']",912,2021
Doc Martin,TV-14,46 min,"Comedy, Drama, Romance",8.4,"The trials and tribulations of Dr. Martin Ellingham, who moves from London to the picturesque village of Portwenn in Cornwall.","['Martin Clunes, ', 'Caroline Catz, ', 'Ian McNeice, ', 'Joe Absolom']",16147,2022
Doctor X,Not Rated,54 min,"Comedy, Drama, Mystery",7.5,"Daimon Michiko is a freelance surgeon who wanders from hospital to hospital because the harsh environment led many doctors to retire. However, Michiko doesn't look like a doctor at all with her flashy clothes and eccentric attitude.","['Ryôko Yonekura, ', 'Ittoku Kishibe, ', 'Yuki Uchida, ', 'Toshiyuki Nishida']",683,2012
Dogs,TV-PG,50 min,"Documentary, History, Reality-TV",7.9,Documentary series celebrating the deep emotional bonds between people and their beloved four-legged best friends.,"['Corinne, ', 'Beth, ', 'Carly']",1295,2018
Dogs in Space,TV-Y7,18 min,"Animation, Action, Adventure",7.1,"In the not-so-distant future, Earth's scientists send a fleet of genetically enhanced dogs to explore the galaxy in search of a new planet to call home.","['Haley Joel Osment, ', 'Sarah Chalke, ', 'Kimiko Glenn, ', 'Chris Parnell']",693,2021
Dogs of Berlin,TV-MA,542 min,"Action, Crime, Drama",7.5,A politically sensitive murder forces two disparate detectives into a battle with the Berlin underworld and a confrontation with their own corruption.,"['Felix Kramer, ', 'Fahri Yardim, ', 'Anna Maria Mühe, ', 'Katharina Schüttler']",12808,2018
DokiDoki! PreCure,TV-Y7,24 min,"Animation, Action, Adventure",6.2,5 teenage girls unleash their inner superheroes to stop King Mercenare from taking over the world.,"['Erica Lindbeck, ', 'Todd Haberkorn, ', 'Cherami Leigh, ', 'Bryce Papenbrook']",198,2014
Dolly Parton: A MusiCares Tribute,TV-PG,55 min,"Documentary, Music",6.6,"In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year.","['Christian Lamb', '| ', '    Star:', 'Brooke Weirick']",244,2021
Dolly Parton: Here I Am,TV-14,90 min,"Documentary, Biography, Music",7.3,"In this documentary, the life, career and music of Dolly Parton are reflected in interviews with friends and companions and the artist herself, interlaced with clips of Parton's performances.","['Francis Whately', '| ', '    Stars:', 'Dabney Coleman, ', 'Mac Davis, ', 'David Dotson, ', 'Jerry Douglas']",1526,2019
Donald Glover: Weirdo,Not Rated,65 min,Comedy,7.4,"With his unique brand of youthful storytelling Donald Glover brings down the house in his hysterical stand-up special, Weirdo.","['Shannon Hartman', '| ', '    Star:', 'Donald Glover']",3629,2012
Don't Trust the B---- in Apartment 23,TV-14,22 min,Comedy,7.3,"Chloe is a New York party girl with the morals of a pirate. She causes trouble for her naive small town roommate, June, and Chloe's best friend, James Van Der Beek.","['Krysten Ritter, ', 'Dreama Walker, ', 'Michael Blaiklock, ', 'Eric André']",38047,2013
Dope,TV-MA,45 min,"Documentary, Crime",7.3,"Ride along for an uncompromising look at the lives of those who sell, use and wage a war on drugs in the U.S. and Mexico.",['Ronan Summers'],1687,2017
Dota: Dragon's Blood,TV-MA,25 min,"Animation, Action, Adventure",7.8,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.","['Yuri Lowenthal, ', 'Lara Pulver, ', 'Troy Baker, ', 'Freya Tingley']",19110,2021
Doug Stanhope: Beer Hall Putsch,Not Rated,61 min,"Documentary, Comedy",7.6,"Named after Hitler's first failed coup attempt, Beer Hall Putsch draws you deeper into the acerbic comic's clear-sighted view of the world with his newest one hour stand-up special recorded live at Dante's in Portland.","['Jay Karas', '| ', '    Stars:', 'Doug Stanhope, ', 'Andy Andrist, ', 'Kristine Levine']",1135,2013
Downton Abbey,TV-PG,58 min,"Drama, Romance",8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"['Hugh Bonneville, ', 'Phyllis Logan, ', 'Elizabeth McGovern, ', 'Brendan Coyle']",204875,2015
Dr. Stone,TV-14,24 min,"Animation, Action, Adventure",8.1,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.","['Yûsuke Kobayashi, ', 'Manami Numakura, ', 'Gen Satô, ', 'Ayumu Murase']",19439,2019
Dragons: Race to the Edge,TV-Y7-FV,22 min,"Animation, Action, Adventure",8.2,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure.","['Jay Baruchel, ', 'America Ferrera, ', 'Zack Pearlman, ', 'Christopher Mintz-Plasse']",6520,2018
Dragons: Rescue Riders,TV-Y,24 min,"Animation, Short, Action",6,Twins Dak and Leyla share a unique ability to communicate with dragons. The brother and sister lead a team of five young dragons that spend their days rescuing other dragons and helping the people in their adopted town of Huttsgalor.,"['Noah Kaye Bentley, ', 'Brennley Brown, ', 'Zach Callison, ', 'Nicolas Cantu']",330,2020
Dragons: Rescue Riders: Hunt for the Golden Dragon,TV-Y,46 min,"Animation, Action, Adventure",5.1,"The Rescue Riders have been asked to find a precious golden dragon egg, and keep it safe from evil pirates.","['Greg Rankin, ', 'T.J. Sullivan', '| ', '    Stars:', 'Noah Kaye Bentley, ', 'Brennley Brown, ', 'Zach Callison, ', 'Nicolas Cantu']",158,2020
Dragons: Rescue Riders: Huttsgalor Holiday,TV-Y,46 min,"Animation, Family",5.2,"Odinyule, the feast of the Vikings sharing, begins with the snow. But if the Rescue Team does not step in, perhaps the tradition will be canceled due to extreme weather conditions.","['Greg Rankin, ', 'T.J. Sullivan', '| ', '    Stars:', 'Noah Kaye Bentley, ', 'Brennley Brown, ', 'Zach Callison, ', 'Nicolas Cantu']",126,2020
Dragons: Rescue Riders: Secrets of the Songwing,TV-Y,46 min,"Animation, Action, Adventure",5.1,"When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell.","['Greg Rankin, ', 'T.J. Sullivan', '| ', '    Stars:', 'Noah Kaye Bentley, ', 'Brennley Brown, ', 'Zach Callison, ', 'Nicolas Cantu']",187,2020
Dreamland,Not Rated,84 min,"Comedy, Drama, Music",5.7,Part-time pianist Monty Fagan begins a May-December romance that upends his home life.,"['Robert Schwartzman', '| ', '    Stars:', 'Johnny Simmons, ', 'Frankie Shaw, ', ""Beverly D'Angelo, "", 'Ginko']",580,2016
DreamWorks Dragons,TV-Y7,22 min,"Animation, Action, Adventure",7.9,The further adventures of Hiccup and his friends on the Island of Berk.,"['Jay Baruchel, ', 'Christopher Mintz-Plasse, ', 'T.J. Miller, ', 'America Ferrera']",11561,2014
Drive,Not Rated,147 min,"Action, Crime, Thriller",3.1,"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.","['Tarun Mansukhani', '| ', '    Stars:', 'Sushant Singh Rajput, ', 'Jacqueline Fernandez, ', 'Vikramjeet Virk, ', 'Sapna Pabbi']",7763,2019
Drive Hard: The Maloof Way,TV-14,32 min,Reality-TV,6.2,"The Maloofs, a lovable family of gearheads and stunt drivers, use their passion and skill to build car engines and perform wild feats behind the wheel.","['Sammy Maloof, ', 'Jennifer Maloof, ', 'Hannah Maloof, ', 'Kaitlyn Maloof']",149,2022
Drop Dead Diva,TV-PG,60 min,"Comedy, Drama",7.4,"A vapid aspiring model killed in a car crash gets brought back to life as an intelligent, overweight lawyer, hoping to find the meaning of inner beauty.","['Brooke Elliott, ', 'Margaret Cho, ', 'Kate Levering, ', 'April Bowlby']",19731,2014
Drug Lords,TV-MA,42 min,Documentary,6.8,Documentary series examining drug cartels and kingpins from around the world.,"['Quinn Dalton, ', 'Jordan Lawson, ', 'Razor Rizzotti, ', 'Winter Dunn']",1360,2018
Dry,Not Rated,107 min,Drama,7.3,"An inspiring true story of Zara, a successful doctor who lives in Wales, and Halima, a young 13 year old girl who is about to be wed in a rural part of Africa. However as time goes on Halima develops a disease, which she gets shunned for. Through out her journey she is some what alone until her path collides with Zara. The day they meet their lives change forever.","['Stephanie Linus', '| ', '    Stars:', 'Ferdinand Afo, ', 'Rekiya Attah, ', 'Samuel Beavis, ', 'Liz Benson']",86,2015
Duck Duck Goose,PG,91 min,"Animation, Adventure, Comedy",5.7,A bachelor goose must form a bond with two lost ducklings as they journey south.,"['Christopher Jenkins', '| ', '    Stars:', 'Jim Gaffigan, ', 'Zendaya, ', 'Lance Lim, ', 'Greg Proops']",3754,2018
Dwayne Perkins: Take Note,TV-MA,68 min,"Documentary, Comedy",7.1,"In his debut special, Brooklyn comic Dwayne Perkins breaks down America's place in the world, the difference between sports and activities and more.","['Ian Harris', '| ', '    Stars:', 'Dwayne Perkins, ', 'Michael Magid, ', 'Jentle Phoenix, ', 'Adam Richmond']",355,2016
Dynasty,TV-14,42 min,Drama,7.2,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,"['Elizabeth Gillies, ', 'Rafael de la Fuente, ', 'Robert Christopher Riley, ', 'Sam Adegoke']",22045,2022
Earwig and the Witch,PG,82 min,"Animation, Adventure, Family",4.8,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic.","['Gorô Miyazaki', '| ', '    Stars:', 'Taylor Henderson, ', 'Jazmín Abuín, ', 'JB Blanc, ', 'Tom Bromhead']",4386,2020
Eastsiders,Not Rated,115 min,Drama,6.8,"EastSiders is a two-time Daytime-Emmy-nominated series created by Kit Williamson, starring Williamson and Van Hansis as a couple experiencing life and relationships in Silver Lake.","['Kit Williamson, ', 'Van Hansis, ', 'Matthew McKelligon, ', 'John Halbach']",2843,2012
Easy,TV-MA,30 min,Comedy,6.9,"Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.","['Michael Chernus, ', 'Jane Adams, ', 'Elizabeth Reaser, ', 'Jacqueline Toboni']",13814,2019
Eddie Pepitone: In Ruins,Not Rated,64 min,Comedy,7.1,"Comedic force of nature Eddie Pepitone delivers a rage-fueled performance in Brooklyn, where he discusses the perils of being a male model, speaking to his dog like his therapist, and the death of the American Dream.","['Steven Feinartz', '| ', '    Star:', 'Eddie Pepitone']",136,2014
Eden,TV-Y7,25 min,"Animation, Action, Adventure",6.6,"A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished.","['Marika Kôno, ', 'Kentarô Itô, ', 'Kyôko Hikami, ', 'Tarusuke Shingaki']",1205,2021
